Ion = Bismuth     , Mass = 208.980384
Tgt = Bi (Solid), Density = 1 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
8.796E+05   1.486E+04  4.161E+01 
8.833E+05   1.487E+04  4.146E+01 
8.871E+05   1.488E+04  4.132E+01 
8.908E+05   1.488E+04  4.117E+01 
8.945E+05   1.489E+04  4.103E+01 
8.983E+05   1.490E+04  4.089E+01 
9.020E+05   1.491E+04  4.075E+01 
9.058E+05   1.491E+04  4.061E+01 
9.095E+05   1.492E+04  4.047E+01 
9.133E+05   1.493E+04  4.033E+01 
9.171E+05   1.494E+04  4.019E+01 
9.209E+05   1.494E+04  4.005E+01 
9.246E+05   1.495E+04  3.991E+01 
9.284E+05   1.496E+04  3.978E+01 
9.323E+05   1.497E+04  3.964E+01 
9.361E+05   1.497E+04  3.951E+01 
9.399E+05   1.498E+04  3.937E+01 
9.437E+05   1.499E+04  3.924E+01 
9.476E+05   1.499E+04  3.911E+01 
9.514E+05   1.500E+04  3.898E+01 
9.553E+05   1.501E+04  3.884E+01 
9.591E+05   1.501E+04  3.871E+01 
9.630E+05   1.502E+04  3.858E+01 
9.669E+05   1.503E+04  3.846E+01 
9.708E+05   1.503E+04  3.833E+01 
9.747E+05   1.504E+04  3.820E+01 
